time (s)	coil I (A)	last det (V)	int current (uC)
427151.659067	0.473843	-303.808594	-4.589844
427151.661069	0.745858	-303.808594	-4.589844
427151.663069	0.797085	-303.808594	-4.589844
427151.665070	0.794593	8.740519	0.359546
427152.741101	0.576984	-125.292969	479.003906
427152.743103	0.788325	-125.292969	479.003906
427152.745102	0.796113	-125.292969	479.003906
427152.747104	0.794156	8.735716	0.227586
427153.757147	0.608176	-298.632812	-5.664062
427153.759151	0.793995	-298.632812	-5.664062
427153.761153	0.795402	-298.632812	-5.664062
427153.763151	0.793450	8.727952	0.631360
427154.839173	0.706252	-123.925781	481.835937
427154.841174	0.797353	-123.925781	481.835937
427154.843174	0.794672	8.741387	0.206382
427155.853196	0.446626	-290.039062	-5.664062
427155.855200	0.728614	-290.039062	-5.664062
427155.857197	0.796610	-290.039062	-5.664062
427155.861197	0.792344	8.715784	0.320348
427156.905238	0.797580	-139.160156	444.921875
427156.907241	0.795388	-139.160156	444.921875
427156.909241	0.793616	8.729778	0.324233
427157.949263	0.279058	-292.480469	-7.421875
427157.951266	0.584670	-292.480469	-7.421875
427157.953266	0.789471	-292.480469	-7.421875
427157.955266	0.795440	-292.480469	-7.421875
427157.959264	0.791992	8.711911	0.314138
427159.001305	0.761331	-140.332031	438.378906
427159.003306	0.796322	-140.332031	438.378906
427159.005307	0.793977	8.733747	0.296651
427160.047344	0.424376	-280.664062	-6.347656
427160.049345	0.713320	-280.664062	-6.347656
427160.051345	0.797693	-280.664062	-6.347656
427160.053344	0.794949	8.744435	0.297151
427161.095807	0.407098	-140.234375	437.988281
427161.097808	0.700261	-140.234375	437.988281
427161.099808	0.797994	-140.234375	437.988281
427161.101808	0.795269	8.747954	0.283217
427162.143841	0.321240	-280.957031	-6.835937
427162.145842	0.624872	-280.957031	-6.835937
427162.147842	0.795769	-280.957031	-6.835937
427162.149842	0.795754	8.753298	0.275797
427163.193921	0.551484	-129.882812	464.062500
427163.195921	0.781138	-129.882812	464.062500
427163.197921	0.796157	-129.882812	464.062500
427163.199923	0.794063	8.734696	0.316892
427164.241953	0.470331	-285.058594	-7.617187
427164.245953	0.797217	-285.058594	-7.617187
427164.247954	0.794705	-285.058594	-7.617187
427164.249955	0.794644	8.741086	0.255396
427165.289995	0.389590	-135.156250	452.050781
427165.291998	0.686296	-135.156250	452.050781
427165.293997	0.798349	-135.156250	452.050781
427165.295998	0.795755	8.753307	0.246131
427166.338037	0.305826	-278.710937	-5.761719
427166.340040	0.610172	-278.710937	-5.761719
427166.342045	0.794424	-278.710937	-5.761719
427166.344043	0.795949	-278.710937	-5.761719
427166.346047	0.793984	8.733828	0.247553
427167.388079	0.528125	-127.246094	468.359375
427167.390080	0.772613	-127.246094	468.359375
427167.392082	0.796354	-127.246094	468.359375
427167.394079	0.794177	8.735946	0.229084
427168.436151	0.453159	-271.093750	-3.417969
427168.438153	0.733234	-271.093750	-3.417969
427168.440153	0.797481	-271.093750	-3.417969
427168.442153	0.794927	8.744197	0.224843
427169.484208	0.375341	-133.203125	458.105469
427169.486210	0.674288	-133.203125	458.105469
427169.488209	0.798112	-133.203125	458.105469
427169.490210	0.795709	8.752802	0.227100
427170.500759	0.487455	-289.550781	-7.421875
427170.502761	0.753209	-289.550781	-7.421875
427170.506760	0.793771	-289.550781	-7.421875
427170.508761	0.792164	8.713799	0.344813
427171.548795	0.405389	-158.886719	396.484375
427171.550797	0.698933	-158.886719	396.484375
427171.552796	0.797894	-158.886719	396.484375
427171.554797	0.795166	8.746829	0.356525
427172.597719	0.459517	-287.695312	-5.859375
427172.599721	0.737078	-287.695312	-5.859375
427172.601721	0.796913	-287.695312	-5.859375
427172.605721	0.792629	8.718922	0.322961
427173.645790	0.382107	-151.562500	413.964844
427173.647790	0.680037	-151.562500	413.964844
427173.649791	0.798116	-151.562500	413.964844
427173.651790	0.795497	8.750463	0.347874
427174.695885	0.607165	-289.746094	-4.980469
427174.697883	0.793497	-289.746094	-4.980469
427174.699883	0.795013	-289.746094	-4.980469
427174.701883	0.793109	8.724203	0.307009
427175.742434	0.301815	-139.550781	442.871094
427175.744439	0.606246	-139.550781	442.871094
427175.746436	0.795898	-139.550781	442.871094
427175.748437	0.798497	-139.550781	442.871094
427175.750438	0.796445	8.760893	0.327071
427176.792459	0.524430	-288.378906	-2.539062
427176.794459	0.770992	-288.378906	-2.539062
427176.796460	0.796330	-288.378906	-2.539062
427176.798459	0.794047	8.734519	0.270713
427177.840523	0.447421	-147.753906	424.414062
427177.842525	0.729175	-147.753906	424.414062
427177.844525	0.796633	-147.753906	424.414062
427177.846527	0.794021	8.734236	0.297809
427178.888577	0.368821	-286.035156	-0.097656
427178.890579	0.668638	-286.035156	-0.097656
427178.892579	0.798297	-286.035156	-0.097656
427178.894578	0.796018	8.756196	0.258829
427179.936555	0.273454	-136.816406	447.558594
427179.938559	0.579256	-136.816406	447.558594
427179.940560	0.788163	-136.816406	447.558594
427179.942558	0.795272	-136.816406	447.558594
427179.944558	0.793225	8.725471	0.279218
427180.986571	0.494927	-284.960937	2.929687
427180.988572	0.757284	-284.960937	2.929687
427180.990572	0.796585	-284.960937	2.929687
427180.994569	0.792695	8.719648	0.240631
427182.036615	0.707683	-136.523437	448.632812
427182.038617	0.797694	-136.523437	448.632812
427182.040620	0.794965	8.744614	0.254549
427183.083598	0.477546	-287.890625	4.589844
427183.085600	0.747597	-287.890625	4.589844
427183.087601	0.796106	-287.890625	4.589844
427183.089600	0.793679	8.730469	0.234531
427184.133688	0.697347	-133.593750	453.906250
427184.137686	0.794509	-133.593750	453.906250
427184.139688	0.792819	8.721004	0.245992
427185.148711	0.586247	-311.718750	1.269531
427185.150713	0.789417	-311.718750	1.269531
427185.152713	0.794975	-311.718750	1.269531
427185.154713	0.792985	8.722830	0.577160
427186.231297	0.745959	-117.968750	487.402344
427186.233297	0.796919	-117.968750	487.402344
427186.235300	0.794527	8.739792	0.220705
427187.245318	0.505196	-310.351562	2.539062
427187.247320	0.762265	-310.351562	2.539062
427187.249320	0.796240	-310.351562	2.539062
427187.253320	0.792299	8.715288	0.357162
427188.327376	0.610433	-123.046875	475.292969
427188.329377	0.794031	-123.046875	475.292969
427188.331377	0.795487	-123.046875	475.292969
427188.333377	0.793522	8.728741	0.203243
427189.343969	0.715889	-303.417969	4.492187
427189.345972	0.797176	-303.417969	4.492187
427189.347975	0.794448	8.738924	0.342307
427190.392018	0.648653	-132.421875	453.515625
427190.394019	0.797293	-132.421875	453.515625
427190.396020	0.795757	8.753325	0.320509
427191.440054	0.567359	-299.707031	4.882812
427191.442056	0.785179	-299.707031	4.882812
427191.446057	0.793238	-299.707031	4.882812
427191.450058	0.790671	8.697377	0.327109
427192.488089	0.488501	-137.792969	442.187500
427192.490089	0.753880	-137.792969	442.187500
427192.492090	0.796682	-137.792969	442.187500
427192.494091	0.794323	8.737550	0.301608
427193.538112	0.697789	-306.738281	3.222656
427193.540119	0.797635	-306.738281	3.222656
427193.542120	0.794961	8.744569	0.310618
427194.585024	0.453452	-129.687500	461.816406
427194.587025	0.733147	-129.687500	461.816406
427194.589025	0.796804	-129.687500	461.816406
427194.591024	0.794177	8.735946	0.295249
427195.633034	0.368831	-301.269531	3.320312
427195.635035	0.668535	-301.269531	3.320312
427195.637037	0.797913	-301.269531	3.320312
427195.639036	0.795596	8.751561	0.283985
427196.683992	0.715382	-128.125000	463.671875
427196.685995	0.796919	-128.125000	463.671875
427196.687995	0.794285	8.737134	0.283205
427197.732134	0.661872	-291.699219	3.710937
427197.734136	0.797103	-291.699219	3.710937
427197.736137	0.797173	8.768905	0.252753
427198.778193	0.278803	-130.371094	460.546875
427198.780195	0.584450	-130.371094	460.546875
427198.782195	0.789808	-130.371094	460.546875
427198.784195	0.795869	-130.371094	460.546875
427198.786197	0.793829	8.732118	0.267080
427199.828243	0.506746	-281.054687	4.296875
427199.830248	0.763204	-281.054687	4.296875
427199.832250	0.796610	-281.054687	4.296875
427199.834249	0.794297	8.737267	0.230842
427200.876299	0.428264	-136.718750	446.386719
427200.878301	0.716011	-136.718750	446.386719
427200.880300	0.797062	-136.718750	446.386719
427200.882301	0.794439	8.738826	0.249805
